School Name,Rank in America,District,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Harlean Beal Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,498,16:1,2019-03-14 09:09:07.816403
O.A. Fleming Elementary School,nan,"Brazosport Independent School District, TX","PK, K-1",nan,nan,C,347,17:1,2019-03-14 09:09:07.816409
Harmony Science Academy - Austin,nan,"Austin, TX",K-8,3.0,30,C,562,13:1,2019-03-14 09:09:07.816415
Moran School,nan,"Moran Independent School District, TX","PK, K-12",2.0,11,C,128,7:1,2019-03-14 09:09:07.816421
Cesar Chavez Middle School,nan,"Waco Independent School District, TX",6-8,4.0,11,C,859,15:1,2019-03-14 09:09:07.816426
David Daniels Elementary Academy of Science and Math,nan,"Grand Prairie Independent School District, TX","PK, K-5",nan,nan,C,626,15:1,2019-03-14 09:09:07.816432
Brazosport High School,nan,"Brazosport Independent School District, TX",9-12,3.5,62,C,"1,037",14:1,2019-03-14 09:09:07.816439
Dovalina Elementary School,nan,"Laredo Independent School District, TX","PK, K-5",nan,nan,C,520,16:1,2019-03-14 09:09:07.816445
Barbara Jordan Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",5.0,1,C,665,16:1,2019-03-14 09:09:07.816451
Ruben C. Rodriguez Elementary School,nan,"Edcouch-Elsa Independent School District, TX",1-5,nan,nan,C,431,17:1,2019-03-14 09:09:07.816458
North Bridge Elementary School,nan,"Weslaco Independent School District, TX","PK, K-5",nan,nan,C,849,17:1,2019-03-14 09:09:07.816465
Ponderosa Elementary School,nan,"Spring Independent School District, TX","PK, K-5",3.0,2,C,728,17:1,2019-03-14 09:09:07.816472
Frederick Douglass Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,517,14:1,2019-03-14 09:09:07.816478
Kindred Elementary School,nan,"South San Antonio Independent School District, TX","PK, K-5",nan,nan,C,519,16:1,2019-03-14 09:09:07.816485
Vista Academy of Elgin,nan,"Elgin, TX",K-5,nan,nan,C,101,13:1,2019-03-14 09:09:07.816491
Ramey Elementary School,nan,"Tyler Independent School District, TX",K-5,nan,nan,C,559,16:1,2019-03-14 09:09:07.816497
Henderson N. Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,298,16:1,2019-03-14 09:09:07.816503
Rosebud Primary School,nan,"Rosebud-Lott Independent School District, TX","PK, K-3",nan,nan,C,201,13:1,2019-03-14 09:09:07.816509
A.A. Milne Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,687,15:1,2019-03-14 09:09:07.816514
Emiliano Zapata Elementary School,nan,"La Joya Independent School District, TX","PK, K-5",nan,nan,C,696,16:1,2019-03-14 09:09:07.816533
John F. Kennedy Elementary School,nan,"Mercedes Independent School District, TX",1-5,nan,nan,C,468,15:1,2019-03-14 09:09:07.816540
Sunrise-McMillian Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,436,15:1,2019-03-14 09:09:07.816545
West Oso Junior High School,nan,"West Oso Independent School District, TX",6-8,nan,nan,C,500,15:1,2019-03-14 09:09:07.816552
Celestino Mauricio Soto Jr. Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,670,15:1,2019-03-14 09:09:07.816558
Domingo Trevino Middle School,nan,"La Joya Independent School District, TX",6-10,nan,nan,C,885,15:1,2019-03-14 09:09:07.816564
International Newcomer Academy,nan,"Fort Worth Independent School District, TX",6-9,nan,nan,C,428,10:1,2019-03-14 09:09:07.816570
Bonner Elementary School,nan,"Tyler Independent School District, TX","PK, K-5",nan,nan,C,437,14:1,2019-03-14 09:09:07.816577
Tom W. Field Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,436,15:1,2019-03-14 09:09:07.816582
Hillcrest Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,567,15:1,2019-03-14 09:09:07.816589
Daniel Singleterry Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,522,18:1,2019-03-14 09:09:07.816594
Weis Middle School,nan,"Galveston Independent School District, TX",5-6,nan,nan,C,284,14:1,2019-03-14 09:09:07.816600
Premier High School of El Paso,nan,"Premier High Schools, TX",9-12,4.0,6,C,169,23:1,2019-03-14 09:09:07.816606
Mary Harris Intermediate School,nan,"Crowley Independent School District, TX",5-6,nan,nan,C,666,17:1,2019-03-14 09:09:07.816612
Cedar Ridge Elementary School,nan,"Waco Independent School District, TX","PK, K-5",4.0,2,C,607,17:1,2019-03-14 09:09:07.816619
East Elementary School,nan,"Progreso Independent School District, TX",5-6,nan,nan,C,290,18:1,2019-03-14 09:09:07.816625
Hereford Junior High School,nan,"Hereford Independent School District, TX",6-8,nan,nan,C,590,12:1,2019-03-14 09:09:07.816631
Progreso High School,nan,"Progreso Independent School District, TX",9-12,3.5,56,C,560,12:1,2019-03-14 09:09:07.816637
Samuel Houston Elementary School,nan,"Huntsville Independent School District, TX",K-4,nan,nan,C,592,15:1,2019-03-14 09:09:07.816643
Menger Elementary School,nan,"Corpus Christi Independent School District, TX","PK, K-5",nan,nan,C,340,16:1,2019-03-14 09:09:07.816650
Brooks International Studies Academy,nan,"Brooks Academy of Science & Engineering, TX",K-6,nan,nan,C,162,16:1,2019-03-14 09:09:07.816655
Northside Elementary School,nan,"Cleveland Independent School District, TX",3-4,nan,nan,C,683,15:1,2019-03-14 09:09:07.816661
Burkeville High School,nan,"Burkeville Independent School District, TX",9-12,3.5,12,C,88,8:1,2019-03-14 09:09:07.816667
Spring Meadows Elementary School,nan,"Judson Independent School District, TX","PK, K-5",nan,nan,C,627,17:1,2019-03-14 09:09:07.816673
Plummer Middle School,nan,"Aldine Independent School District, TX",7-8,4.0,4,C,980,16:1,2019-03-14 09:09:07.816679
John F. Kennedy Learning Center,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,413,13:1,2019-03-14 09:09:07.816685
Young Scholars Academy for Excellence,nan,"Houston Independent School District, TX","PK, K-8",nan,nan,C,189,21:1,2019-03-14 09:09:07.816691
Nova Academy - Bruton,nan,"Nova Academy (Southeast), TX","PK, K-6",nan,nan,C,271,16:1,2019-03-14 09:09:07.816697
A.M. Ochoa Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,449,17:1,2019-03-14 09:09:07.816703
F.W. Gross Montessori Magnet School,nan,"Victoria Independent School District, TX","PK, K-5",nan,nan,C,360,14:1,2019-03-14 09:09:07.816709
Royal High School,nan,"Royal Independent School District, TX",9-12,3.0,54,C,541,12:1,2019-03-14 09:09:07.816714
Runn Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,358,17:1,2019-03-14 09:09:07.816720
Petersen Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,530,15:1,2019-03-14 09:09:07.816726
KIPP Austin Vista Middle Schools,nan,"Austin, TX",5-8,nan,nan,C,431,16:1,2019-03-14 09:09:07.816732
Clara Oliver Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,361,13:1,2019-03-14 09:09:07.816737
Bill J. Elliott Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",5.0,1,C,592,16:1,2019-03-14 09:09:07.816743
Dunbar High School,nan,"Fort Worth Independent School District, TX",9-12,3.5,152,C,863,12:1,2019-03-14 09:09:07.816749
Parnell Elementary School,nan,"Jasper Independent School District, TX",4-5,nan,nan,C,393,14:1,2019-03-14 09:09:07.816755
Maria Moreno Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,422,13:1,2019-03-14 09:09:07.816761
Grand Prairie High School,nan,"Grand Prairie Independent School District, TX",9-12,3.5,346,C,"2,543",14:1,2019-03-14 09:09:07.816767
Castleberry High School,nan,"Castleberry Independent School District, TX",9-12,3.5,190,C,"1,015",18:1,2019-03-14 09:09:07.816774
Thomas Jefferson Intermediate School,nan,"Beeville Independent School District, TX",5-6,nan,nan,C,441,13:1,2019-03-14 09:09:07.816780
Seminary Hills Park Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,414,15:1,2019-03-14 09:09:07.816787
Mary Branch Elementary School,nan,"Bryan Independent School District, TX","PK, K-5",nan,nan,C,588,16:1,2019-03-14 09:09:07.816793
Barkley-Ruiz Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,595,19:1,2019-03-14 09:09:07.816799
Bonham Elementary School,nan,"Midland Independent School District, TX","PK, K-6",nan,nan,C,697,16:1,2019-03-14 09:09:07.816805
Vista Academy of Garland,nan,"Garland, TX",K-8,nan,nan,C,351,14:1,2019-03-14 09:09:07.816811
Castro Elementary School,nan,"Mission Consolidated Independent School District, TX","PK, K-5",nan,nan,C,545,17:1,2019-03-14 09:09:07.816817
Jose Borrego Middle School,nan,"Monte Alto Independent School District, TX",6-8,3.5,2,C,221,12:1,2019-03-14 09:09:07.816823
Oak Grove Elementary School,nan,"Brownfield Independent School District, TX",2-5,nan,nan,C,538,15:1,2019-03-14 09:09:07.816829
KIPP Coastal Village School,nan,"Galveston Independent School District, TX","PK, K-4",nan,nan,C,578,21:1,2019-03-14 09:09:07.816835
Etoile Elementary School,nan,"Etoile Independent School District, TX","PK, K-8",nan,nan,C,133,9:1,2019-03-14 09:09:07.816846
Gregory-Lincoln Education Center - Middle School,nan,"Houston Independent School District, TX","PK, K-8",nan,nan,C,751,17:1,2019-03-14 09:09:07.816852
Roland P. Harris Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,650,17:1,2019-03-14 09:09:07.816859
Henderson Middle School,nan,"El Paso Independent School District, TX",6-8,nan,nan,C,789,16:1,2019-03-14 09:09:07.816866
Robert T. Hill Middle School,nan,"Dallas Independent School District, TX",6-8,3.0,1,C,"1,039",16:1,2019-03-14 09:09:07.816872
Lorenzo De Zavala Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,384,13:1,2019-03-14 09:09:07.816878
Ginger McNabb Elementary School,nan,"Spring Independent School District, TX","PK, K-5",nan,nan,C,698,15:1,2019-03-14 09:09:07.816884
Handley Middle School,nan,"Fort Worth Independent School District, TX",6-8,4.0,8,C,524,12:1,2019-03-14 09:09:07.816890
Julian T. Saldivar Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,956,17:1,2019-03-14 09:09:07.816896
Tinsley Elementary School,nan,"Houston Independent School District, TX",1-5,nan,nan,C,784,17:1,2019-03-14 09:09:07.816902
Dwight Middle School,nan,"South San Antonio Independent School District, TX",6-8,4.0,5,C,482,16:1,2019-03-14 09:09:07.816909
Mission High School,nan,"Mission Consolidated Independent School District, TX",9-12,3.5,253,C,"2,042",13:1,2019-03-14 09:09:07.816914
Dolores Huerta Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,585,16:1,2019-03-14 09:09:07.816921
Tijerina Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,436,16:1,2019-03-14 09:09:07.816939
Emeline Carpenter Elementary School,nan,"Nacogdoches Independent School District, TX",3-5,nan,nan,C,156,6:1,2019-03-14 09:09:07.816946
Rosemont Park Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,646,18:1,2019-03-14 09:09:07.816952
George W. Truett Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,"1,125",16:1,2019-03-14 09:09:07.816959
Lockhart Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,720,19:1,2019-03-14 09:09:07.816965
Diamond Hill Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,636,18:1,2019-03-14 09:09:07.816971
Winfree Academy Charter School - North Richland Hills Campus,nan,"North Richland Hills, TX",9-12,3.5,6,C,236,19:1,2019-03-14 09:09:07.816977
Ben Bolt Palito-Blanco High School,nan,"Ben Bolt-Palito Blanco Independent School District, TX",9-12,3.0,16,C,214,12:1,2019-03-14 09:09:07.816983
Sheldon Elementary School,nan,"Sheldon Independent School District, TX",1-5,nan,nan,C,770,18:1,2019-03-14 09:09:07.816990
Pecan Valley Elementary School,nan,"East Central Independent School District, TX","PK, K-3",nan,nan,C,571,15:1,2019-03-14 09:09:07.816996
Parkway Elementary School,nan,"Crowley Independent School District, TX","PK, K-4",nan,nan,C,742,18:1,2019-03-14 09:09:07.817002
Joseph J. Rhoads Learning Center,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,720,17:1,2019-03-14 09:09:07.817008
Lost Pines Elementary School,nan,"Bastrop Independent School District, TX","PK, K-4",nan,nan,C,736,16:1,2019-03-14 09:09:07.817014
L.L. Hotchkiss Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,"1,001",16:1,2019-03-14 09:09:07.817021
Morningside Middle School,nan,"Fort Worth Independent School District, TX",6-8,4.0,10,C,736,12:1,2019-03-14 09:09:07.817027
A.P. Solis Middle School,nan,"Donna Independent School District, TX",6-8,nan,nan,C,735,9:1,2019-03-14 09:09:07.817033
Mary Lou Hartman Elementary School,nan,"Judson Independent School District, TX","PK, K-5",nan,nan,C,813,18:1,2019-03-14 09:09:07.817040
Encinal Elementary School,nan,"Cotulla Independent School District, TX","PK, K-5",nan,nan,C,136,13:1,2019-03-14 09:09:07.817046
La Vega High School,nan,"La Vega Independent School District, TX",9-12,3.5,138,C,769,16:1,2019-03-14 09:09:07.817051
Albert Sidney Johnston Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,482,15:1,2019-03-14 09:09:07.817058
Houston Can Academy - Hobby,nan,"Houston, TX",9-12,3.5,3,C,351,19:1,2019-03-14 09:09:07.817064
Teague Middle School,nan,"Aldine Independent School District, TX",7-8,nan,nan,C,830,13:1,2019-03-14 09:09:07.817070
Jacquet Middle School,nan,"Fort Worth Independent School District, TX",6-8,3.5,7,C,758,15:1,2019-03-14 09:09:07.817075
Foerster Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,724,17:1,2019-03-14 09:09:07.817081
McMichael Middle School,nan,"Nacogdoches Independent School District, TX",6-8,4.0,1,C,704,15:1,2019-03-14 09:09:07.817087
Daggett Middle School,nan,"Fort Worth Independent School District, TX",6-8,nan,nan,C,490,14:1,2019-03-14 09:09:07.817104
Miller Jordan Middle School,nan,"San Benito Consolidated Independent School District, TX",6-8,3.5,2,C,821,14:1,2019-03-14 09:09:07.817110
Marshall Junior High School,nan,"Marshall Independent School District, TX",7-9,nan,nan,C,780,16:1,2019-03-14 09:09:07.817117
South Waco Elementary School,nan,"Waco Independent School District, TX","PK, K-5",3.0,2,C,531,17:1,2019-03-14 09:09:07.817123
Farias Elementary School,nan,"Laredo Independent School District, TX","PK, K-5",nan,nan,C,752,18:1,2019-03-14 09:09:07.817129
Billy Reagan K-8 Educational Center,nan,"Houston Independent School District, TX",K-8,nan,nan,C,"1,060",17:1,2019-03-14 09:09:07.817135
Stroman Middle School,nan,"Victoria Independent School District, TX",6-8,nan,nan,C,735,12:1,2019-03-14 09:09:07.817141
Tornillo High School,nan,"Tornillo Independent School District, TX",9-12,3.5,46,C,357,15:1,2019-03-14 09:09:07.817147
San Jacinto Junior High School,nan,"Midland Independent School District, TX",7-8,nan,nan,C,735,15:1,2019-03-14 09:09:07.817153
Ann Richards Middle School,nan,"Dallas Independent School District, TX",6-8,4.0,3,C,"1,239",16:1,2019-03-14 09:09:07.817159
Robert Driscoll Jr Elementary School,nan,"Robstown Independent School District, TX",K-3,nan,nan,C,458,16:1,2019-03-14 09:09:07.817165
Paso del Norte Academy,nan,"El Paso, TX",9-12,4.0,16,C,91,15:1,2019-03-14 09:09:07.817171
Hirsch Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,719,18:1,2019-03-14 09:09:07.817177
Camino Real Elementary School,nan,"Hays Consolidated Independent School District, TX","PK, K-5",nan,nan,C,785,14:1,2019-03-14 09:09:07.817183
Braeburn Elementary School,nan,"Houston Independent School District, TX","PK, K-5",5.0,1,C,877,16:1,2019-03-14 09:09:07.817189
Coldspring-Oakhurst High School,nan,"Coldspring-Oakhurst Consolidated Independent School District, TX",9-12,3.0,74,C,467,12:1,2019-03-14 09:09:07.817195
Deady Middle School,nan,"Houston Independent School District, TX",6-8,3.0,4,C,701,17:1,2019-03-14 09:09:07.817201
Vestal Elementary School,nan,"Harlandale Independent School District, TX","PK, K-5",nan,nan,C,498,17:1,2019-03-14 09:09:07.817207
Trinity Junior High School,nan,"Trinity Independent School District, TX",6-8,nan,nan,C,284,17:1,2019-03-14 09:09:07.817213
Inspired for Excellence Academy - West,nan,"Houston Independent School District, TX",5-8,nan,nan,C,99,19:1,2019-03-14 09:09:07.817219
Mary Harper Middle School,nan,"Dilley Independent School District, TX",6-8,nan,nan,C,222,11:1,2019-03-14 09:09:07.817233
Veterans Middle School,nan,"Donna Independent School District, TX",6-8,nan,nan,C,949,12:1,2019-03-14 09:09:07.817239
Joaquin Cigarroa Middle School,nan,"Laredo Independent School District, TX",6-9,5.0,1,C,"1,312",16:1,2019-03-14 09:09:07.817245
Reagan County Elementary School,nan,"Reagan County Independent School District, TX","PK, K-5",nan,nan,C,462,13:1,2019-03-14 09:09:07.817250
Sam Tasby Middle School,nan,"Dallas Independent School District, TX",6-8,3.5,3,C,837,15:1,2019-03-14 09:09:07.817256
Maria Alicia P. Munoz Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,886,21:1,2019-03-14 09:09:07.817263
Jean McClung Middle School,nan,"Fort Worth Independent School District, TX",6-8,3.5,3,C,845,16:1,2019-03-14 09:09:07.817270
W.J. Turner Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",3.0,1,C,537,20:1,2019-03-14 09:09:07.817277
Gabe P. Allen Charter School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,490,14:1,2019-03-14 09:09:07.817283
Loma Park Elementary School,nan,"Edgewood Independent School District (San Antonio), TX","PK, K-5",nan,nan,C,767,17:1,2019-03-14 09:09:07.817289
Bonner Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,991,17:1,2019-03-14 09:09:07.817296
Hall Center for Education,nan,"Aldine Independent School District, TX",9-12,3.5,6,C,257,9:1,2019-03-14 09:09:07.817301
Rogers Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,639,16:1,2019-03-14 09:09:07.817308
La Encantada Elementary School,nan,"San Benito Consolidated Independent School District, TX","PK, K-5",nan,nan,C,503,19:1,2019-03-14 09:09:07.817314
La Joya High School,nan,"La Joya Independent School District, TX",9-12,3.5,261,C,"2,562",14:1,2019-03-14 09:09:07.817320
Seagoville Middle School,nan,"Dallas Independent School District, TX",6-8,nan,nan,C,"1,193",17:1,2019-03-14 09:09:07.817326
Mountain View High School,nan,"Clint Independent School District, TX",9-12,3.5,69,C,798,14:1,2019-03-14 09:09:07.817332
West Oso High School,nan,"West Oso Independent School District, TX",9-12,3.5,30,C,532,11:1,2019-03-14 09:09:07.817339
Daggett Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",nan,nan,C,796,18:1,2019-03-14 09:09:07.817347
Bloomington High School,nan,"Bloomington Independent School District, TX",9-12,4.0,31,C,274,15:1,2019-03-14 09:09:07.817369
Woodlake Elementary School,nan,"Judson Independent School District, TX","PK, K-5",nan,nan,C,676,19:1,2019-03-14 09:09:07.817376
Premier High School of Mission,nan,"Premier High Schools, TX",9-12,3.5,12,C,166,20:1,2019-03-14 09:09:07.817382
Fletcher Elementary School,nan,"Beaumont Independent School District, TX","PK, K-5",nan,nan,C,599,16:1,2019-03-14 09:09:07.817388
John B. Hood Middle School,nan,"Dallas Independent School District, TX",6-8,2.5,13,C,"1,020",15:1,2019-03-14 09:09:07.817394
Martinez C. Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,542,17:1,2019-03-14 09:09:07.817401
Jubilee Academic Center,nan,"San Antonio, TX",K-12,4.0,33,C,"1,161",18:1,2019-03-14 09:09:07.817407
J.D. Salinas Middle School,nan,"La Joya Independent School District, TX",6-9,5.0,8,C,927,15:1,2019-03-14 09:09:07.817413
J.W. Caceres Elementary School,nan,"Donna Independent School District, TX","PK, K-5",nan,nan,C,482,19:1,2019-03-14 09:09:07.817419
Fred Booth Elementary School,nan,"San Benito Consolidated Independent School District, TX","PK, K-5",nan,nan,C,548,19:1,2019-03-14 09:09:07.817425
C.F. Carr Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,334,13:1,2019-03-14 09:09:07.817431
Kermit Elementary School,nan,"Kermit Independent School District, TX","PK, K-4",nan,nan,C,670,18:1,2019-03-14 09:09:07.817437
Jones Elementary School,nan,"Midland Independent School District, TX","PK, K-6",nan,nan,C,384,15:1,2019-03-14 09:09:07.817444
Decker Middle School,nan,"Manor Independent School District, TX",6-10,5.0,1,C,855,16:1,2019-03-14 09:09:07.817450
H.M. King High School,nan,"Kingsville Independent School District, TX",9-12,3.5,225,C,978,14:1,2019-03-14 09:09:07.817456
John Neely Bryan Elementary School,nan,"Dallas Independent School District, TX","PK, K-5",nan,nan,C,507,15:1,2019-03-14 09:09:07.817462
The Children First Academy - Houston,nan,"Children First Academy of Dallas, TX","PK, K-7",nan,nan,C,396,23:1,2019-03-14 09:09:07.817469
Willowridge High School,nan,"Fort Bend Independent School District, TX",9-12,3.5,151,C,"1,299",14:1,2019-03-14 09:09:07.817475
W.W. Samuell High School,nan,"Dallas Independent School District, TX",9-12,3.5,246,C,"1,759",14:1,2019-03-14 09:09:07.817481
Del Rio Middle School,nan,"San Felipe-Del Rio Consolidated Independent School District, TX",7-8,nan,nan,C,"1,535",18:1,2019-03-14 09:09:07.817487
R.E. Lee Elementary School,nan,"Marshall Independent School District, TX",K-4,nan,nan,C,334,15:1,2019-03-14 09:09:07.817493
Taft High School,nan,"Taft Independent School District, TX",9-12,3.0,36,C,350,10:1,2019-03-14 09:09:07.817499
Santa Maria Middle School,nan,"Santa Maria Independent School District, TX",6-8,nan,nan,C,144,7:1,2019-03-14 09:09:07.817505
North Heights Elementary School,nan,"San Felipe-Del Rio Consolidated Independent School District, TX",K-5,nan,nan,C,727,18:1,2019-03-14 09:09:07.817511
Brooks Academy of Science & Engineering,nan,"Brooks Academy of Science & Engineering, TX",K-12,3.5,183,C,"1,358",19:1,2019-03-14 09:09:07.817518
Cameron Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,599,18:1,2019-03-14 09:09:07.817524
Zavala Elementary School,nan,"Corpus Christi Independent School District, TX","PK, K-5",nan,nan,C,749,18:1,2019-03-14 09:09:07.817530
Thomas Middle School,nan,"Houston Independent School District, TX",6-8,nan,nan,C,486,15:1,2019-03-14 09:09:07.817536
Stehlik Intermediate School,nan,"Aldine Independent School District, TX",5-6,nan,nan,C,"1,021",17:1,2019-03-14 09:09:07.817542
Socorro High School,nan,"Socorro Independent School District, TX",9-12,3.5,313,C,"2,535",19:1,2019-03-14 09:09:07.817548
Thurgood Marshall High School,nan,"Fort Bend Independent School District, TX",9-12,3.5,329,C,"1,258",14:1,2019-03-14 09:09:07.817555
Fonville Middle School,nan,"Houston Independent School District, TX",6-8,3.5,2,C,929,15:1,2019-03-14 09:09:07.817561
George I. Sanchez Charter High School,nan,"George I Sanchez Charter School District, TX","PK, K-12",4.0,18,C,806,17:1,2019-03-14 09:09:07.817567
Joan Link Elementary School,nan,"Spring Independent School District, TX","PK, K-5",nan,nan,C,674,16:1,2019-03-14 09:09:07.817573
Welch Middle School,nan,"Houston Independent School District, TX",6-8,4.0,1,C,853,16:1,2019-03-14 09:09:07.817579
Ray H. Darr Elementary School,nan,"Eagle Pass Independent School District, TX","PK, K-6",nan,nan,C,490,19:1,2019-03-14 09:09:07.817585
Candlewood Elementary School,nan,"Judson Independent School District, TX","PK, K-5",nan,nan,C,639,17:1,2019-03-14 09:09:07.817591
Ozen High School,nan,"Beaumont Independent School District, TX",9-12,3.5,88,C,"1,081",16:1,2019-03-14 09:09:07.817598
Patti Welder Middle School,nan,"Victoria Independent School District, TX",6-8,5.0,1,C,695,13:1,2019-03-14 09:09:07.817604
Como Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",1.5,2,C,475,17:1,2019-03-14 09:09:07.817610
Reed Academy,nan,"Aldine Independent School District, TX",5-6,3.0,1,C,"1,004",19:1,2019-03-14 09:09:07.817616
Parker Intermediate School,nan,"Aldine Independent School District, TX",5-6,nan,nan,C,991,18:1,2019-03-14 09:09:07.817622
Kenedy Middle School,nan,"Kenedy Independent School District, TX",6-8,nan,nan,C,167,14:1,2019-03-14 09:09:07.817627
D.D. Hachar Elementary School,nan,"Laredo Independent School District, TX","PK, K-5",nan,nan,C,546,18:1,2019-03-14 09:09:07.817633
Garcia Elementary School,nan,"Houston Independent School District, TX","PK, K-5",5.0,1,C,755,17:1,2019-03-14 09:09:07.817640
Hearne Junior High School,nan,"Hearne Independent School District, TX",7-8,nan,nan,C,127,8:1,2019-03-14 09:09:07.817646
Boude Storey Middle School,nan,"Dallas Independent School District, TX",6-8,3.0,1,C,603,13:1,2019-03-14 09:09:07.817652
Eastern Hills Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",2.5,7,C,725,18:1,2019-03-14 09:09:07.817658
William B Travis World Language Academy,nan,"Grand Prairie Independent School District, TX","PK, K-6",nan,nan,C,693,16:1,2019-03-14 09:09:07.817664
Shekinah Radiance Academy - Garland Road,nan,"Dallas, TX","PK, K-8",nan,nan,C,91,11:1,2019-03-14 09:09:07.817670
Fannin Middle School,nan,"Grand Prairie Independent School District, TX",6-8,4.0,6,C,749,14:1,2019-03-14 09:09:07.817676
Dallas Can Academy - Carrollton/Farmers Branch,nan,"Farmers Branch, TX",9-12,4.5,3,C,336,18:1,2019-03-14 09:09:07.817682
David L. Walker Intermediate School,nan,"Crowley Independent School District, TX",5-8,nan,nan,C,655,21:1,2019-03-14 09:09:07.817688
Bernarda Jaime Junior High School,nan,"San Diego Independent School District, TX",6-8,nan,nan,C,287,13:1,2019-03-14 09:09:07.817695
Faith Family Academy - Oak Cliff,nan,"Dallas, TX","PK, K-12",4.0,22,C,"2,300",18:1,2019-03-14 09:09:07.817701
Charles Graebner Elementary School,nan,"San Antonio Independent School District, TX","PK, K-5",nan,nan,C,791,17:1,2019-03-14 09:09:07.817706
Amanda Garza-Pena Elementary School,nan,"Pharr-San Juan-Alamo Independent School District, TX","PK, K-5",nan,nan,C,662,17:1,2019-03-14 09:09:07.817713
Fondren Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,417,17:1,2019-03-14 09:09:07.817719
Elmore Elementary School,nan,"Houston Independent School District, TX",K-5,nan,nan,C,652,18:1,2019-03-14 09:09:07.817725
Mitchell Boulevard Elementary School,nan,"Fort Worth Independent School District, TX","PK, K-5",1.0,1,C,430,16:1,2019-03-14 09:09:07.817731
Alcott Elementary School,nan,"Houston Independent School District, TX","PK, K-5",nan,nan,C,332,14:1,2019-03-14 09:09:07.817737
Harmony School of Innovation - San Antonio,nan,"San Antonio, TX",K-8,3.0,11,C,610,15:1,2019-03-14 09:09:07.817743
Freer Junior High School,nan,"Freer Independent School District, TX",6-8,2.0,1,C,185,13:1,2019-03-14 09:09:07.817749
Buckholts School,nan,"Buckholts Independent School District, TX","PK, K-12",3.5,3,C,159,10:1,2019-03-14 09:09:07.817756
Richland Springs School,nan,"Richland Springs Independent School District, TX","PK, K-12",3.5,8,C,120,9:1,2019-03-14 09:09:07.817761
Jefferson High School,nan,"San Antonio Independent School District, TX",9-12,3.5,187,C,"1,745",17:1,2019-03-14 09:09:07.817780
